"Wavelength","HOURS","sample_name","sample","blank","intensity_bl_corrected"
600,0.32,"PCA + DMR",0.402,0.421,-0.019
600,0.32,"PCA + DMR + Fumarate",0.345,0.367,-0.022
600,0.32,"PCA + medium + Fumarate",0.1,0.088,0.012
600,0.32,"SD-1  DMR",0.721,0.414,0.307
600,0.32,"SD-1  DMR+ Ferric citrate",1.145,0.934,0.211
600,0.32,"SD-1  medium bicarb + Ferric Citrate",0.767,0.233,0.534
600,0.32,"SD-1  medium PIPES + Ferric Citrate",0.405,0.356,0.049
600,0.32,"SD-1  medium PIPES + Ferric Citrate + lactate",0.373,0.351,0.022
600,0.32,"SD-1 Defined media + Acetate",0.254,0.23,0.024
600,0.32,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.656,0.269,0.387
600,0.653611111111111,"PCA + DMR",0.401,0.419,-0.018
600,0.653611111111111,"PCA + DMR + Fumarate",0.342,0.369,-0.027
600,0.653611111111111,"PCA + medium + Fumarate",0.1,0.089,0.011
600,0.653611111111111,"SD-1  DMR",0.734,0.412,0.322
600,0.653611111111111,"SD-1  DMR+ Ferric citrate",1.149,0.915,0.234
600,0.653611111111111,"SD-1  medium bicarb + Ferric Citrate",0.808,0.235,0.573
600,0.653611111111111,"SD-1  medium PIPES + Ferric Citrate",0.396,0.356,0.04
600,0.653611111111111,"SD-1  medium PIPES + Ferric Citrate + lactate",0.365,0.35,0.015
600,0.653611111111111,"SD-1 Defined media + Acetate",0.242,0.223,0.019
600,0.653611111111111,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.684,0.27,0.414
600,0.987222222222222,"PCA + DMR",0.4,0.418,-0.018
600,0.987222222222222,"PCA + DMR + Fumarate",0.344,0.369,-0.025
600,0.987222222222222,"PCA + medium + Fumarate",0.1,0.091,0.00900000000000001
600,0.987222222222222,"SD-1  DMR",0.736,0.411,0.325
600,0.987222222222222,"SD-1  DMR+ Ferric citrate",1.153,0.886,0.267
600,0.987222222222222,"SD-1  medium bicarb + Ferric Citrate",0.842,0.237,0.605
600,0.987222222222222,"SD-1  medium PIPES + Ferric Citrate",0.39,0.357,0.033
600,0.987222222222222,"SD-1  medium PIPES + Ferric Citrate + lactate",0.361,0.35,0.011
600,0.987222222222222,"SD-1 Defined media + Acetate",0.234,0.216,0.018
600,0.987222222222222,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.702,0.269,0.433
600,1.32083333333333,"PCA + DMR",0.4,0.418,-0.018
600,1.32083333333333,"PCA + DMR + Fumarate",0.349,0.369,-0.02
600,1.32083333333333,"PCA + medium + Fumarate",0.1,0.09,0.01
600,1.32083333333333,"SD-1  DMR",0.74,0.41,0.33
600,1.32083333333333,"SD-1  DMR+ Ferric citrate",1.156,0.863,0.293
600,1.32083333333333,"SD-1  medium bicarb + Ferric Citrate",0.873,0.238,0.635
600,1.32083333333333,"SD-1  medium PIPES + Ferric Citrate",0.386,0.356,0.03
600,1.32083333333333,"SD-1  medium PIPES + Ferric Citrate + lactate",0.358,0.35,0.00800000000000001
600,1.32083333333333,"SD-1 Defined media + Acetate",0.229,0.21,0.019
600,1.32083333333333,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.72,0.268,0.452
600,1.65444444444444,"PCA + DMR",0.399,0.416,-0.017
600,1.65444444444444,"PCA + DMR + Fumarate",0.344,0.369,-0.025
600,1.65444444444444,"PCA + medium + Fumarate",0.1,0.089,0.011
600,1.65444444444444,"SD-1  DMR",0.748,0.41,0.338
600,1.65444444444444,"SD-1  DMR+ Ferric citrate",1.161,0.841,0.32
600,1.65444444444444,"SD-1  medium bicarb + Ferric Citrate",0.898,0.24,0.658
600,1.65444444444444,"SD-1  medium PIPES + Ferric Citrate",0.384,0.356,0.028
600,1.65444444444444,"SD-1  medium PIPES + Ferric Citrate + lactate",0.356,0.35,0.00600000000000001
600,1.65444444444444,"SD-1 Defined media + Acetate",0.225,0.206,0.019
600,1.65444444444444,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.736,0.27,0.466
600,1.98805555555556,"PCA + DMR",0.399,0.416,-0.017
600,1.98805555555556,"PCA + DMR + Fumarate",0.345,0.37,-0.025
600,1.98805555555556,"PCA + medium + Fumarate",0.1,0.088,0.012
600,1.98805555555556,"SD-1  DMR",0.753,0.41,0.343
600,1.98805555555556,"SD-1  DMR+ Ferric citrate",1.166,0.81,0.356
600,1.98805555555556,"SD-1  medium bicarb + Ferric Citrate",0.919,0.238,0.681
600,1.98805555555556,"SD-1  medium PIPES + Ferric Citrate",0.381,0.356,0.025
600,1.98805555555556,"SD-1  medium PIPES + Ferric Citrate + lactate",0.353,0.35,0.003
600,1.98805555555556,"SD-1 Defined media + Acetate",0.223,0.203,0.02
600,1.98805555555556,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.748,0.269,0.479
600,2.32166666666667,"PCA + DMR",0.399,0.415,-0.016
600,2.32166666666667,"PCA + DMR + Fumarate",0.345,0.37,-0.025
600,2.32166666666667,"PCA + medium + Fumarate",0.1,0.089,0.011
600,2.32166666666667,"SD-1  DMR",0.758,0.409,0.349
600,2.32166666666667,"SD-1  DMR+ Ferric citrate",1.172,0.784,0.388
600,2.32166666666667,"SD-1  medium bicarb + Ferric Citrate",0.938,0.24,0.698
600,2.32166666666667,"SD-1  medium PIPES + Ferric Citrate",0.378,0.358,0.02
600,2.32166666666667,"SD-1  medium PIPES + Ferric Citrate + lactate",0.35,0.35,0
600,2.32166666666667,"SD-1 Defined media + Acetate",0.212,0.2,0.012
600,2.32166666666667,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.756,0.269,0.487
600,2.65527777777778,"PCA + DMR",0.398,0.415,-0.017
600,2.65527777777778,"PCA + DMR + Fumarate",0.345,0.37,-0.025
600,2.65527777777778,"PCA + medium + Fumarate",0.1,0.09,0.01
600,2.65527777777778,"SD-1  DMR",0.761,0.409,0.352
600,2.65527777777778,"SD-1  DMR+ Ferric citrate",1.178,0.763,0.415
600,2.65527777777778,"SD-1  medium bicarb + Ferric Citrate",0.944,0.243,0.701
600,2.65527777777778,"SD-1  medium PIPES + Ferric Citrate",0.376,0.357,0.019
600,2.65527777777778,"SD-1  medium PIPES + Ferric Citrate + lactate",0.349,0.351,-0.002
600,2.65527777777778,"SD-1 Defined media + Acetate",0.211,0.198,0.013
600,2.65527777777778,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.762,0.27,0.492
600,2.98888888888889,"PCA + DMR",0.398,0.415,-0.017
600,2.98888888888889,"PCA + DMR + Fumarate",0.346,0.37,-0.024
600,2.98888888888889,"PCA + medium + Fumarate",0.1,0.092,0.00800000000000001
600,2.98888888888889,"SD-1  DMR",0.764,0.409,0.355
600,2.98888888888889,"SD-1  DMR+ Ferric citrate",1.181,0.74,0.441
600,2.98888888888889,"SD-1  medium bicarb + Ferric Citrate",0.951,0.246,0.705
600,2.98888888888889,"SD-1  medium PIPES + Ferric Citrate",0.376,0.36,0.016
600,2.98888888888889,"SD-1  medium PIPES + Ferric Citrate + lactate",0.346,0.351,-0.005
600,2.98888888888889,"SD-1 Defined media + Acetate",0.205,0.196,0.00899999999999998
600,2.98888888888889,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.767,0.27,0.497
600,3.3225,"PCA + DMR",0.398,0.415,-0.017
600,3.3225,"PCA + DMR + Fumarate",0.346,0.37,-0.024
600,3.3225,"PCA + medium + Fumarate",0.1,0.093,0.00700000000000001
600,3.3225,"SD-1  DMR",0.765,0.409,0.356
600,3.3225,"SD-1  DMR+ Ferric citrate",1.184,0.722,0.462
600,3.3225,"SD-1  medium bicarb + Ferric Citrate",0.954,0.247,0.707
600,3.3225,"SD-1  medium PIPES + Ferric Citrate",0.375,0.358,0.017
600,3.3225,"SD-1  medium PIPES + Ferric Citrate + lactate",0.346,0.352,-0.00600000000000001
600,3.3225,"SD-1 Defined media + Acetate",0.202,0.2,0.002
